Cayley table for Z16:
  +  00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15
  +------------------------------------------------
00| 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15
01| 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 00
02| 02 03 04 05 06 07 08 09 10 11 12 13 14 15 00 01
03| 03 04 05 06 07 08 09 10 11 12 13 14 15 00 01 02
04| 04 05 06 07 08 09 10 11 12 13 14 15 00 01 02 03
05| 05 06 07 08 09 10 11 12 13 14 15 00 01 02 03 04
06| 06 07 08 09 10 11 12 13 14 15 00 01 02 03 04 05
07| 07 08 09 10 11 12 13 14 15 00 01 02 03 04 05 06
08| 08 09 10 11 12 13 14 15 00 01 02 03 04 05 06 07
09| 09 10 11 12 13 14 15 00 01 02 03 04 05 06 07 08
10| 10 11 12 13 14 15 00 01 02 03 04 05 06 07 08 09
11| 11 12 13 14 15 00 01 02 03 04 05 06 07 08 09 10
12| 12 13 14 15 00 01 02 03 04 05 06 07 08 09 10 11
13| 13 14 15 00 01 02 03 04 05 06 07 08 09 10 11 12
14| 14 15 00 01 02 03 04 05 06 07 08 09 10 11 12 13
15| 15 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14

Group order is 16 

Is the group Abelian: True

*  a b c d e f g h i j k l m n o p q r s t
 +----------------------------------------
a| a b c d e f g h i j k l m n o p q r s t
b| b a d c f e h g j i l k n m p o r q t s
c| c s a e d g f i h k j m l o n q p t b r
d| d t b f c h e j g l i n k p m r o s a q
e| e r s g a i d k f m h o j q l t n b c p
f| f q t h b j c l e n g p i r k s m a d o
g| g p r i s k a m d o f q h t j b l c e n
h| h o q j t l b n c p e r g s i a k d f m
i| i n p k r m s o a q d t f b h c j e g l
j| j m o l q n t p b r c s e a g d i f h k
k| k l n m p o r q s t a b d c f e h g i j
l| l k m n o p q r t s b a c d e f g h j i
m| m j l o n q p t r b s c a e d g f i k h
n| n i k p m r o s q a t d b f c h e j l g
o| o h j q l t n b p c r e s g a i d k m f
p| p g i r k s m a o d q f t h b j c l n e
q| q f h t j b l c n e p g r i s k a m o d
r| r e g s i a k d m f o h q j t l b n p c
s| s c e a g d i f k h m j o l q n t p r b
t| t d f b h c j e l g n i p k r m s o q a

Group order is 20 

Is the group Abelian:  False 

          *           ()     (3,4,5)     (3,5,4)  (2,3)(4,5)     (2,3,4)     (2,3,5)     (2,4,3)     (2,4,5)  (2,4)(3,5)     (2,5,3)     (2,5,4)  (2,5)(3,4)  (1,2)(4,5)  (1,2)(3,4)  (1,2)(3,5)     (1,2,3) (1,2,3,4,5) (1,2,3,5,4) (1,2,4,5,3)     (1,2,4) (1,2,4,3,5) (1,2,5,4,3)     (1,2,5) (1,2,5,3,4)     (1,3,2) (1,3,4,5,2) (1,3,5,4,2)  (1,3)(4,5)     (1,3,4)     (1,3,5)  (1,3)(2,4) (1,3,2,4,5) (1,3,5,2,4)  (1,3)(2,5) (1,3,2,5,4) (1,3,4,2,5) (1,4,5,3,2)     (1,4,2) (1,4,3,5,2)     (1,4,3)     (1,4,5)  (1,4)(3,5) (1,4,5,2,3)  (1,4)(2,3) (1,4,2,3,5) (1,4,2,5,3) (1,4,3,2,5)  (1,4)(2,5) (1,5,4,3,2)     (1,5,2) (1,5,3,4,2)     (1,5,3)     (1,5,4)  (1,5)(3,4) (1,5,4,2,3)  (1,5)(2,3) (1,5,2,3,4) (1,5,2,4,3) (1,5,3,2,4)  (1,5)(2,4)
           +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         ()|          ()     (3,4,5)     (3,5,4)  (2,3)(4,5)     (2,3,4)     (2,3,5)     (2,4,3)     (2,4,5)  (2,4)(3,5)     (2,5,3)     (2,5,4)  (2,5)(3,4)  (1,2)(4,5)  (1,2)(3,4)  (1,2)(3,5)     (1,2,3) (1,2,3,4,5) (1,2,3,5,4) (1,2,4,5,3)     (1,2,4) (1,2,4,3,5) (1,2,5,4,3)     (1,2,5) (1,2,5,3,4)     (1,3,2) (1,3,4,5,2) (1,3,5,4,2)  (1,3)(4,5)     (1,3,4)     (1,3,5)  (1,3)(2,4) (1,3,2,4,5) (1,3,5,2,4)  (1,3)(2,5) (1,3,2,5,4) (1,3,4,2,5) (1,4,5,3,2)     (1,4,2) (1,4,3,5,2)     (1,4,3)     (1,4,5)  (1,4)(3,5) (1,4,5,2,3)  (1,4)(2,3) (1,4,2,3,5) (1,4,2,5,3) (1,4,3,2,5)  (1,4)(2,5) (1,5,4,3,2)     (1,5,2) (1,5,3,4,2)     (1,5,3)     (1,5,4)  (1,5)(3,4) (1,5,4,2,3)  (1,5)(2,3) (1,5,2,3,4) (1,5,2,4,3) (1,5,3,2,4)  (1,5)(2,4)
